Name,Year,Team,Salary,Prev_Salary,is_rookie,FA,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
°­·ÎÇÑ,2019,LOTTE,5300,2900,X,X,1992,27,2B,0.04,104,0.67,-0.62,306,305,288,38,69,15,6,4,108,25,7,1,13,3,0,107,3,1,1,0.24,0.279,0.375,0.654,0.089,72.3
°­·ÎÇÑ,2015,LOTTE,2900,2900,X,X,1992,23,3B,-0.13,22,-0.09,-0.04,8,8,8,2,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0.125,0.125,0.125,0.25,-0.084,-56.9
°­¸í±¸,2014,SAMSUNG,6000,6000,X,X,1980,34,2B,-0.07,21,-0.04,-0.03,4,4,4,8,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,-0.196,-138.3
°­¸í±¸,2013,SAMSUNG,6000,6000,X,X,1980,33,2B,-0.03,55,-0.18,0.15,63,63,58,22,11,0,1,0,13,6,11,1,4,1,0,4,4,0,0,0.19,0.254,0.224,0.478,-0.107,13
°­¸í±¸,2012,SAMSUNG,6000,6000,X,X,1980,32,2B,-0.11,72,-0.03,-0.08,11,11,10,16,1,0,0,0,1,0,15,3,1,0,0,1,1,0,0,0.1,0.182,0.1,0.282,-0.156,-39.2
°­¸í±¸,2011,SAMSUNG,6000,5300,X,X,1980,31,2B,-0.02,89,-0.24,0.22,66,64,58,22,10,1,0,1,14,5,19,4,5,0,0,16,0,2,1,0.172,0.234,0.241,0.475,-0.106,17.5
°­¸í±¸,2010,SAMSUNG,5300,4700,X,X,1980,30,2B,-0.16,55,-0.01,-0.16,70,65,63,17,17,5,0,0,22,9,7,3,2,1,1,10,3,4,0,0.27,0.303,0.349,0.652,-0.052,69.5
°­¸í±¸,2007,SAMSUNG,4700,4500,X,X,1980,27,2B,0.07,68,-0.11,0.17,32,32,27,13,3,0,1,0,5,2,13,3,5,0,0,9,0,0,0,0.111,0.25,0.185,0.435,-0.095,17.6
°­¸í±¸,2006,SAMSUNG,4500,3800,X,X,1980,26,2B,-0.15,91,-0.18,0.04,24,24,19,22,1,0,0,0,1,1,21,6,4,1,0,6,0,0,0,0.053,0.25,0.053,0.303,-0.129,-19.9
°­¸í±¸,2005,SAMSUNG,3800,2500,X,X,1980,25,2B,0.28,106,0.29,-0.01,50,50,44,30,11,1,0,0,12,2,21,2,4,2,0,9,1,0,0,0.25,0.34,0.273,0.613,-0.047,68.1
°­¸í±¸,2004,SAMSUNG,2500,2000,X,X,1980,24,2B,-0.06,15,-0.09,0.03,11,11,11,2,3,0,0,0,3,1,0,1,0,0,0,3,0,0,0,0.273,0.273,0.273,0.546,-0.081,38.6
°­¸í±¸,2003,SAMSUNG,2000,,O,X,1980,23,2B,-0.06,9,-0.06,0.01,3,3,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.321,-165.3
°­¹Î±¹,2021,KT,5500,5500,X,X,1992,29,2B,-0.05,18,-0.09,0.04,50,48,45,2,11,2,0,0,13,4,0,0,3,0,0,6,1,2,0,0.244,0.292,0.289,0.581,0.05,40.8
°­¹Î±¹,2020,KT,5500,4000,X,X,1992,28,2B,-0.71,81,-0.45,-0.25,120,114,107,16,24,3,0,0,27,9,0,1,7,0,0,20,0,6,0,0.224,0.272,0.252,0.524,0.044,33.8
°­¹Î±¹,2019,KT,4000,2700,X,X,1992,27,SS,-0.27,58,0.22,-0.49,94,94,88,12,24,0,1,0,26,7,2,0,6,0,0,17,2,0,0,0.273,0.319,0.295,0.614,0.082,71.6
