,Name,FA,Team,Year,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Salary,Prev_Salary,is_rookie
1534,김민철,X,KIA,2005,1982.0,23.0,SS,0.46,101.0,-0.35,0.8,203.0,192.0,179.0,21.0,39.0,7.0,3.0,0.0,52.0,13.0,11.0,4.0,10.0,3.0,0.0,41.0,1.0,11.0,0.0,0.218,0.271,0.291,0.562,-0.073,48.9,3300.0,2300.0,X
1535,김백만,,HANWHA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,2100.0,X
1536,김상수,,SAMSUNG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,,O
1537,김상훈,X,KIA,2005,1977.0,28.0,C,0.83,105.0,0.15,0.68,338.0,329.0,298.0,29.0,70.0,8.0,0.0,8.0,102.0,40.0,0.0,2.0,24.0,4.0,1.0,50.0,5.0,8.0,4.0,0.235,0.297,0.342,0.639,-0.048,67.8,9800.0,9800.0,X
1538,김성태,,HYUNDAI,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,3000.0,X
1539,김성호,X,KIA,2005,1981.0,24.0,C,-0.05,2.0,-0.05,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.315,-157.8,,,
1540,김수경,,HYUNDAI,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000.0,30000.0,X
1541,김수연,X,HANWHA,2005,1977.0,28.0,RF,0.2,111.0,0.32,-0.13,299.0,295.0,273.0,41.0,69.0,10.0,2.0,0.0,83.0,14.0,9.0,3.0,20.0,1.0,0.0,46.0,3.0,4.0,1.0,0.253,0.305,0.304,0.609,-0.044,70.7,6600.0,5200.0,X
1542,김승관,X,LOTTE,2005,1976.0,29.0,1B,0.04,14.0,0.03,0.0,19.0,19.0,14.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.143,0.368,0.143,0.511,-0.039,74.9,2600.0,2600.0,X
1543,김승권,X,HYUNDAI,2005,1976.0,29.0,IF,-0.03,8.0,0.08,-0.11,24.0,23.0,23.0,3.0,6.0,2.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.261,0.261,0.478,0.739,-0.021,90.1,3000.0,3200.0,X
1544,김영민,,HYUNDAI,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,,O
1545,김영복,X,SAMSUNG,2005,1985.0,20.0,C,0.0,23.0,-0.18,0.18,41.0,40.0,37.0,3.0,7.0,1.0,0.0,1.0,11.0,4.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,1.0,0.189,0.225,0.297,0.522,-0.102,23.4,2500.0,2100.0,X
1546,김우석,X,LG,2005,1975.0,30.0,SS,-0.19,30.0,-0.27,0.07,19.0,19.0,18.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.111,0.158,0.167,0.325,-0.195,-57.1,3200.0,3000.0,X
1547,김원섭,X,KIA,2005,1978.0,27.0,LF,-0.67,28.0,-0.53,-0.14,26.0,26.0,25.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.04,0.077,0.04,0.117,-0.257,-108.7,2800.0,2800.0,X
1548,김원형,,SK/SSG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,18000.0,X
1549,김유신,,LOTTE,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1550,김인철,X,HANWHA,2005,1971.0,34.0,RF,0.87,103.0,1.71,-0.84,288.0,285.0,262.0,46.0,72.0,16.0,0.0,10.0,118.0,39.0,8.0,3.0,20.0,2.0,0.0,59.0,9.0,3.0,1.0,0.275,0.33,0.45,0.78,0.006,112.6,5400.0,2800.0,X
1551,김일경,X,HYUNDAI,2005,1978.0,27.0,2B,0.52,55.0,0.44,0.08,121.0,118.0,101.0,14.0,23.0,4.0,1.0,1.0,32.0,3.0,4.0,0.0,15.0,2.0,0.0,25.0,2.0,3.0,0.0,0.228,0.339,0.317,0.656,-0.025,86.6,,,
1552,김재걸,X,SAMSUNG,2005,1972.0,33.0,SS,0.17,103.0,-0.22,0.39,266.0,254.0,231.0,22.0,57.0,7.0,0.0,1.0,67.0,23.0,8.0,8.0,17.0,5.0,0.0,59.0,6.0,12.0,1.0,0.247,0.311,0.29,0.601,-0.053,64.6,11000.0,6500.0,X
1553,김재구,,SK/SSG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,,O
1554,김재현7,O,SK/SSG,2005,1975.0,30.0,DH,5.67,120.0,6.11,-0.44,499.0,489.0,400.0,63.0,126.0,17.0,0.0,19.0,200.0,77.0,2.0,2.0,80.0,16.0,10.0,59.0,9.0,0.0,3.0,0.315,0.445,0.5,0.945,0.07,165.2,23000.0,23000.0,X
1555,김재호,X,DOOSAN,2005,1985.0,20.0,SS,0.11,47.0,0.11,0.01,31.0,30.0,27.0,6.0,6.0,1.0,1.0,1.0,12.0,4.0,1.0,0.0,2.0,1.0,0.0,5.0,1.0,1.0,0.0,0.222,0.3,0.444,0.744,-0.027,85.5,,,
1556,김정민,X,LG,2005,1970.0,35.0,C,0.6,79.0,0.55,0.05,211.0,201.0,186.0,19.0,51.0,9.0,0.0,5.0,75.0,29.0,0.0,2.0,7.0,6.0,0.0,20.0,8.0,10.0,2.0,0.274,0.318,0.403,0.721,-0.024,87.8,8100.0,6500.0,X
1557,김정환,,LOTTE,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1558,김종국,X,KIA,2005,1973.0,32.0,2B,1.37,117.0,0.5,0.87,429.0,419.0,374.0,39.0,88.0,15.0,3.0,4.0,121.0,40.0,11.0,5.0,37.0,3.0,0.0,68.0,7.0,10.0,5.0,0.235,0.305,0.324,0.629,-0.042,73.0,11000.0,11000.0,X
1559,김종민,,SK/SSG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,X
1560,김종훈,O,SAMSUNG,2005,1972.0,33.0,LF,0.42,70.0,0.69,-0.27,167.0,164.0,146.0,19.0,42.0,4.0,1.0,2.0,54.0,18.0,3.0,1.0,11.0,4.0,0.0,30.0,4.0,3.0,3.0,0.288,0.348,0.37,0.718,-0.014,96.0,11000.0,11000.0,X
1561,김주형,X,KIA,2005,1985.0,20.0,1B,-0.39,39.0,-0.58,0.19,114.0,111.0,99.0,6.0,17.0,3.0,0.0,0.0,20.0,6.0,0.0,0.0,9.0,4.0,1.0,25.0,3.0,2.0,0.0,0.172,0.268,0.202,0.47,-0.109,18.1,2200.0,2200.0,X
1562,김주호,X,DOOSAN,2005,1984.0,21.0,DH,-0.02,5.0,-0.02,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,-0.097,26.2,2800.0,2800.0,X
1563,김진수,,DOOSAN,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,O
1564,김창희,X,DOOSAN,2005,1973.0,32.0,CF,1.65,84.0,1.56,0.09,270.0,263.0,221.0,26.0,60.0,9.0,0.0,3.0,78.0,35.0,4.0,2.0,35.0,5.0,1.0,41.0,3.0,6.0,3.0,0.271,0.379,0.353,0.732,0.004,111.0,,,
1565,김창희,,SAMSUNG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.0,9000.0,X
1566,김태균,O,HANWHA,2005,1982.0,23.0,1B,3.97,124.0,6.36,-2.39,529.0,524.0,461.0,73.0,146.0,33.0,2.0,23.0,252.0,100.0,3.0,1.0,60.0,6.0,5.0,73.0,20.0,0.0,2.0,0.317,0.401,0.547,0.948,0.066,162.5,24000.0,15500.0,X
1567,김태균,O,HANWHA,2005,1982.0,23.0,1B,3.97,124.0,6.36,-2.39,529.0,524.0,461.0,73.0,146.0,33.0,2.0,23.0,252.0,100.0,3.0,1.0,60.0,6.0,5.0,73.0,20.0,0.0,2.0,0.317,0.401,0.547,0.948,0.066,162.5,24000.0,8600.0,X
1568,김태균,X,SK/SSG,2005,1971.0,34.0,SS,0.74,110.0,0.47,0.27,272.0,254.0,232.0,24.0,55.0,11.0,1.0,5.0,83.0,22.0,1.0,0.0,18.0,3.0,0.0,57.0,3.0,18.0,1.0,0.237,0.299,0.358,0.657,-0.041,75.2,10000.0,15500.0,X
1569,김태균,X,SK/SSG,2005,1971.0,34.0,SS,0.74,110.0,0.47,0.27,272.0,254.0,232.0,24.0,55.0,11.0,1.0,5.0,83.0,22.0,1.0,0.0,18.0,3.0,0.0,57.0,3.0,18.0,1.0,0.237,0.299,0.358,0.657,-0.041,75.2,10000.0,8600.0,X
1570,김태완,X,LG,2005,1981.0,24.0,2B,-0.32,29.0,-0.45,0.13,50.0,49.0,40.0,5.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,7.0,2.0,0.0,11.0,0.0,1.0,0.0,0.1,0.265,0.1,0.365,-0.136,-4.6,,,
1571,김한수,O,SAMSUNG,2005,1971.0,34.0,1B,2.42,114.0,3.24,-0.82,465.0,459.0,406.0,55.0,119.0,18.0,0.0,15.0,182.0,73.0,1.0,0.0,35.0,18.0,3.0,68.0,9.0,3.0,3.0,0.293,0.372,0.448,0.82,0.014,119.2,40000.0,40000.0,X
1572,김해님,,HANWHA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6700.0,4500.0,X
1573,김현수,,DOOSAN,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1574,김형철,X,SK/SSG,2005,1980.0,25.0,IF,0.1,20.0,0.1,0.0,8.0,8.0,8.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.375,0.375,0.5,0.875,0.065,162.7,2200.0,2100.0,X
1575,나승현,,LOTTE,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1576,나주환,X,DOOSAN,2005,1984.0,21.0,3B,0.22,99.0,0.41,-0.2,200.0,190.0,174.0,21.0,47.0,9.0,0.0,1.0,59.0,19.0,8.0,3.0,10.0,4.0,0.0,36.0,5.0,10.0,2.0,0.27,0.321,0.339,0.66,-0.034,80.1,5300.0,3300.0,X
1577,노병오,,HYUNDAI,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.0,3000.0,X
1578,노승욱,,LOTTE,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000.0,4000.0,X
1579,노장진,,LOTTE,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.0,28000.0,X
1580,노환수,,HYUNDAI,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,2000.0,X
1581,류택현,,LG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500.0,,X
1582,류현진,,HANWHA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1583,마해영,O,KIA,2005,1970.0,35.0,1B,0.83,94.0,2.1,-1.27,387.0,383.0,338.0,46.0,90.0,17.0,0.0,12.0,143.0,60.0,0.0,0.0,35.0,8.0,2.0,66.0,13.0,2.0,4.0,0.266,0.345,0.423,0.768,-0.001,106.7,,,
1584,마해영,,LG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,40000.0,X
1585,문동환,,HANWHA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0,7500.0,X
1586,문희성,X,DOOSAN,2005,1973.0,32.0,1B,1.44,114.0,1.93,-0.49,369.0,367.0,322.0,45.0,88.0,15.0,0.0,10.0,133.0,50.0,12.0,3.0,29.0,13.0,1.0,54.0,8.0,1.0,4.0,0.273,0.353,0.413,0.766,-0.004,104.4,8000.0,4700.0,X
1587,민경수,,LG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0,2800.0,X
1588,박경수,X,LG,2005,1984.0,21.0,2B,0.06,35.0,-0.12,0.18,133.0,127.0,105.0,13.0,18.0,2.0,0.0,2.0,26.0,7.0,1.0,0.0,18.0,3.0,0.0,32.0,1.0,6.0,1.0,0.171,0.307,0.248,0.555,-0.068,52.5,4200.0,5000.0,X
1589,박경완,O,SK/SSG,2005,1972.0,33.0,C,3.33,114.0,1.88,1.45,425.0,410.0,347.0,43.0,85.0,17.0,0.0,11.0,135.0,44.0,1.0,4.0,57.0,7.0,7.0,100.0,6.0,8.0,6.0,0.245,0.357,0.389,0.746,-0.006,102.7,40000.0,30000.0,X
1590,박경진,X,LOTTE,2005,1976.0,29.0,C,-0.19,12.0,-0.15,-0.04,12.0,12.0,12.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.167,0.167,0.167,0.334,-0.181,-45.1,,,
1591,박경태,,KIA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1592,박기남,X,LG,2005,1981.0,24.0,3B,0.88,56.0,0.93,-0.05,162.0,157.0,136.0,20.0,37.0,2.0,0.0,4.0,51.0,16.0,0.0,1.0,19.0,2.0,0.0,36.0,2.0,5.0,0.0,0.272,0.369,0.375,0.744,0.006,112.2,3500.0,2500.0,X
1593,박기혁,X,LOTTE,2005,1981.0,24.0,SS,2.82,114.0,1.93,0.89,382.0,373.0,335.0,44.0,93.0,13.0,3.0,3.0,121.0,27.0,8.0,3.0,36.0,1.0,0.0,61.0,5.0,9.0,1.0,0.278,0.349,0.361,0.71,-0.004,104.3,7800.0,5700.0,X
1594,박노민,X,HANWHA,2005,1985.0,20.0,C,-0.34,9.0,-0.17,-0.17,10.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.1,0.1,0.1,0.2,-0.226,-83.2,,,
1595,박명환,,DOOSAN,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000.0,26000.0,X
1596,박병호,X,LG,2005,1986.0,19.0,1B,-0.05,79.0,-0.46,0.42,185.0,185.0,163.0,22.0,31.0,11.0,0.0,3.0,51.0,21.0,1.0,0.0,12.0,6.0,0.0,48.0,3.0,0.0,4.0,0.19,0.265,0.313,0.578,-0.081,39.5,2800.0,2000.0,X
1597,박석민,X,SAMSUNG,2005,1985.0,20.0,3B,-0.33,52.0,-0.24,-0.09,92.0,92.0,81.0,7.0,16.0,3.0,1.0,0.0,21.0,4.0,1.0,0.0,7.0,3.0,0.0,13.0,3.0,0.0,1.0,0.198,0.283,0.259,0.542,-0.083,37.5,,,
1598,박석진,,SAMSUNG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0,10000.0,X
1599,박연수,X,LOTTE,2005,1974.0,31.0,OF,0.83,71.0,1.05,-0.22,193.0,190.0,171.0,15.0,48.0,9.0,0.0,5.0,72.0,20.0,1.0,3.0,15.0,4.0,0.0,48.0,3.0,3.0,0.0,0.281,0.353,0.421,0.774,0.008,113.8,5400.0,4700.0,X
1600,박용택,X,LG,2005,1979.0,26.0,LF,2.91,126.0,3.54,-0.63,523.0,520.0,472.0,90.0,132.0,25.0,1.0,15.0,204.0,71.0,43.0,7.0,43.0,5.0,3.0,98.0,9.0,0.0,3.0,0.28,0.344,0.432,0.776,0.006,112.9,15000.0,9000.0,X
1601,박재상,X,SK/SSG,2005,1982.0,23.0,LF,-0.5,31.0,-0.56,0.06,49.0,49.0,46.0,3.0,6.0,1.0,0.0,0.0,7.0,1.0,3.0,1.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,0.13,0.184,0.152,0.336,-0.168,-33.9,2200.0,2000.0,X
1602,박재홍,X,SK/SSG,2005,1973.0,32.0,CF,5.24,109.0,5.35,-0.11,495.0,491.0,421.0,76.0,128.0,21.0,1.0,18.0,205.0,63.0,22.0,10.0,67.0,2.0,2.0,78.0,10.0,2.0,3.0,0.304,0.4,0.487,0.887,0.058,155.6,40000.0,28000.0,X
1603,박정준,X,LOTTE,2005,1984.0,21.0,LF,-0.72,91.0,-0.66,-0.06,130.0,128.0,117.0,18.0,24.0,4.0,1.0,0.0,30.0,7.0,6.0,4.0,7.0,2.0,0.0,23.0,2.0,2.0,2.0,0.205,0.258,0.256,0.514,-0.097,27.2,2600.0,2000.0,X
1604,박정환,X,SAMSUNG,2005,1977.0,28.0,2B,-0.2,26.0,-0.1,-0.1,44.0,43.0,38.0,5.0,7.0,1.0,0.0,1.0,11.0,7.0,1.0,0.0,4.0,0.0,0.0,15.0,2.0,1.0,1.0,0.184,0.256,0.289,0.545,-0.083,39.2,6500.0,6000.0,X
1605,박종윤,X,LOTTE,2005,1982.0,23.0,1B,-0.18,6.0,-0.19,0.01,8.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,-0.293,-139.3,2100.0,2000.0,X
1606,박종호,,LG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22500.0,22500.0,X
1607,박종호,O,SAMSUNG,2005,1973.0,32.0,2B,3.37,119.0,2.24,1.13,484.0,458.0,392.0,63.0,105.0,21.0,0.0,4.0,138.0,36.0,5.0,2.0,46.0,18.0,1.0,48.0,4.0,25.0,3.0,0.268,0.368,0.352,0.72,-0.008,100.4,,,
1608,박준서,X,LOTTE,2005,1981.0,24.0,2B,-0.15,68.0,-0.49,0.34,94.0,86.0,82.0,9.0,16.0,2.0,1.0,0.0,20.0,5.0,4.0,2.0,4.0,0.0,0.0,25.0,0.0,8.0,0.0,0.195,0.233,0.244,0.477,-0.11,22.0,3000.0,2700.0,X
1609,박준수,,HYUNDAI,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,2500.0,X
1610,박지철,,LOTTE,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000.0,13000.0,X
1611,박진만,O,SAMSUNG,2005,1976.0,29.0,SS,1.92,85.0,1.4,0.53,333.0,324.0,281.0,34.0,70.0,16.0,0.0,7.0,107.0,44.0,5.0,2.0,32.0,9.0,0.0,47.0,8.0,9.0,2.0,0.249,0.343,0.381,0.724,-0.012,97.2,45000.0,35000.0,X
1612,박진환,X,LOTTE,2005,1981.0,24.0,2B,-0.21,31.0,-0.14,-0.07,64.0,64.0,61.0,7.0,13.0,5.0,0.0,1.0,21.0,2.0,3.0,2.0,3.0,0.0,0.0,24.0,2.0,0.0,0.0,0.213,0.25,0.344,0.594,-0.066,52.1,2300.0,2100.0,X
1613,박한이,X,SAMSUNG,2005,1979.0,26.0,CF,3.01,123.0,3.46,-0.44,551.0,537.0,471.0,62.0,139.0,21.0,0.0,9.0,187.0,59.0,12.0,10.0,55.0,9.0,2.0,51.0,15.0,12.0,4.0,0.295,0.377,0.397,0.774,0.015,119.6,20000.0,15000.0,X
1614,박현승,X,LOTTE,2005,1972.0,33.0,3B,-0.12,24.0,-0.02,-0.1,44.0,43.0,38.0,3.0,8.0,1.0,0.0,0.0,9.0,1.0,1.0,0.0,5.0,0.0,0.0,10.0,2.0,1.0,0.0,0.211,0.302,0.237,0.539,-0.065,54.2,7800.0,7800.0,X
1615,방승재,X,DOOSAN,2005,1981.0,24.0,OF,0.01,6.0,0.01,0.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,-0.081,39.4,,,
1616,배영수,,SAMSUNG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000.0,22000.0,X
1617,배장호,,LOTTE,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1618,백승룡,X,HANWHA,2005,1982.0,23.0,SS,-0.51,39.0,-0.63,0.12,79.0,75.0,63.0,9.0,8.0,2.0,0.0,0.0,10.0,3.0,1.0,2.0,7.0,4.0,0.0,15.0,1.0,4.0,1.0,0.127,0.253,0.159,0.412,-0.128,5.0,2470.0,,O
1619,백재호,X,HANWHA,2005,1974.0,31.0,2B,0.36,85.0,0.98,-0.62,260.0,255.0,235.0,29.0,65.0,8.0,0.0,4.0,85.0,20.0,5.0,0.0,15.0,4.0,0.0,48.0,11.0,5.0,1.0,0.277,0.329,0.362,0.691,-0.021,90.0,5700.0,4700.0,X
1620,백정훈,X,KIA,2005,1982.0,23.0,C,-0.02,1.0,-0.03,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.319,-161.5,,,
1621,백준영,,SAMSUNG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,,O
1622,서동욱,X,KIA,2005,1984.0,21.0,1B,-0.1,12.0,-0.11,0.02,7.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.143,0.0,0.143,-0.214,-72.6,,,
1623,서동환,,DOOSAN,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2400.0,X
1624,서민욱,,HANWHA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,,O
1625,서승화,,LG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0,4200.0,X
1626,서용빈,X,LG,2005,1971.0,34.0,1B,-0.46,15.0,-0.47,0.01,41.0,40.0,39.0,3.0,5.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.128,0.15,0.205,0.355,-0.173,-34.8,8500.0,9000.0,X
1627,서한규,X,HYUNDAI,2005,1973.0,32.0,SS,2.15,93.0,0.87,1.28,303.0,289.0,254.0,33.0,63.0,8.0,2.0,2.0,81.0,17.0,9.0,2.0,29.0,5.0,0.0,47.0,2.0,14.0,1.0,0.248,0.336,0.319,0.655,-0.029,84.2,4500.0,3500.0,X
1628,손민한,,LOTTE,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,18000.0,X
1629,손승락,,HYUNDAI,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,2000.0,X
1630,손승현,X,SAMSUNG,2005,1982.0,23.0,C,-0.06,8.0,-0.08,0.02,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.329,-169.8,,,
1631,손시헌,X,DOOSAN,2005,1980.0,25.0,SS,3.35,126.0,2.32,1.03,480.0,474.0,416.0,59.0,115.0,18.0,5.0,4.0,155.0,60.0,2.0,5.0,48.0,4.0,0.0,59.0,7.0,6.0,6.0,0.276,0.352,0.373,0.725,-0.001,106.2,13000.0,6000.0,X
1632,손영민,,KIA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1633,손용석,,LOTTE,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1634,손인호,X,LOTTE,2005,1975.0,30.0,RF,-0.09,114.0,0.36,-0.45,387.0,381.0,345.0,25.0,83.0,16.0,3.0,2.0,111.0,27.0,3.0,2.0,29.0,7.0,1.0,64.0,8.0,5.0,1.0,0.241,0.312,0.322,0.634,-0.045,70.4,8500.0,8000.0,X
1635,손주인,X,SAMSUNG,2005,1983.0,22.0,2B,0.06,14.0,0.04,0.02,8.0,8.0,7.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.286,0.375,0.286,0.661,-0.007,102.0,,,
1636,손지환,X,KIA,2005,1978.0,27.0,3B,2.14,107.0,1.75,0.39,357.0,351.0,316.0,37.0,88.0,13.0,0.0,11.0,134.0,44.0,1.0,2.0,24.0,9.0,1.0,29.0,6.0,5.0,3.0,0.278,0.344,0.424,0.768,-0.003,104.6,8500.0,7000.0,X
1637,송광민,,HANWHA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1638,송산,X,KIA,2005,1982.0,23.0,C,0.55,75.0,0.41,0.14,141.0,136.0,125.0,14.0,33.0,4.0,0.0,3.0,46.0,19.0,2.0,2.0,10.0,1.0,0.0,27.0,3.0,5.0,0.0,0.264,0.324,0.368,0.692,-0.02,90.8,3000.0,,O
1639,송수,,DOOSAN,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1640,송신영,,HYUNDAI,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,10000.0,X
1641,송은범,,SK/SSG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,3200.0,X
1642,송지만,X,HYUNDAI,2005,1973.0,32.0,LF,3.31,123.0,3.58,-0.27,510.0,506.0,436.0,70.0,118.0,22.0,0.0,24.0,212.0,74.0,3.0,3.0,43.0,24.0,0.0,101.0,9.0,4.0,3.0,0.271,0.366,0.486,0.852,0.018,122.3,50000.0,28000.0,X
1643,송현우,,LG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,2200.0,X
1644,신경현,X,HANWHA,2005,1975.0,30.0,C,2.33,110.0,1.49,0.84,358.0,355.0,321.0,38.0,89.0,15.0,1.0,4.0,118.0,23.0,2.0,3.0,29.0,2.0,0.0,47.0,8.0,3.0,3.0,0.277,0.338,0.368,0.706,-0.01,99.4,9000.0,4500.0,X
1645,신동주,O,KIA,2005,1972.0,33.0,LF,-0.49,23.0,-0.57,0.08,35.0,34.0,32.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,13.0,0.0,0.0,0.0,0.094,0.171,0.094,0.265,-0.489,-74.7,10000.0,10000.0,X
1646,신명철,X,LOTTE,2005,1978.0,27.0,2B,1.47,116.0,0.97,0.5,398.0,373.0,344.0,47.0,88.0,16.0,3.0,5.0,125.0,33.0,21.0,8.0,25.0,3.0,0.0,79.0,5.0,25.0,1.0,0.256,0.311,0.363,0.674,-0.029,84.2,6600.0,4300.0,X
1647,신승현,,SK/SSG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600.0,4000.0,X
1648,신용운,,KIA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300.0,6300.0,X
1649,신윤호,,LG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800.0,7200.0,X
1650,신재웅,,LG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,,O
1651,신주영,,HANWHA,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,2000.0,X
1652,신창호,,LG,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,O
1653,신철인,,HYUNDAI,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500.0,10000.0,X
