,Name,FA,Team,Year,Birth,Age,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Salary,Prev_Salary,is_rookie
28,김경언,X,KIA,2001,1982.0,19.0,LF,0.26,65.0,0.34,-0.07,109.0,106.0,94.0,15.0,27.0,6.0,0.0,1.0,36.0,7.0,1.0,2.0,10.0,0.0,0.0,28.0,2.0,3.0,2.0,0.287,0.349,0.383,0.732,-0.032,99.2,,,
29,김경태,,DOOSAN,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,2300.0,X
30,김광수,,LG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,O
31,김기덕,,SK/SSG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6700.0,7200.0,X
32,김기동,X,HANWHA,2001,1978.0,23.0,DH,-0.08,1.0,-0.09,0.01,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.359,-167.1,,,
33,김기태,O,SAMSUNG,2001,1969.0,32.0,1B,-0.3,44.0,-0.25,-0.05,102.0,101.0,85.0,5.0,15.0,2.0,1.0,0.0,19.0,9.0,0.0,0.0,16.0,1.0,1.0,17.0,1.0,0.0,0.0,0.176,0.314,0.224,0.538,-0.08,46.5,,,
34,김기태,,SK/SSG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,20000.0,X
35,김대원,,HANWHA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,O
36,김대익,X,LOTTE,2001,1973.0,28.0,CF,0.73,130.0,1.07,-0.34,458.0,442.0,404.0,55.0,115.0,24.0,2.0,5.0,158.0,33.0,9.0,10.0,33.0,1.0,0.0,75.0,8.0,16.0,4.0,0.285,0.337,0.391,0.728,-0.017,93.7,8300.0,7700.0,X
37,김동건,X,SK/SSG,2001,1982.0,19.0,3B,-0.1,7.0,-0.01,-0.09,6.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.333,0.2,0.533,-0.068,54.5,1900.0,,O
38,김동수,O,SAMSUNG,2001,1968.0,33.0,C,1.46,89.0,0.98,0.47,217.0,211.0,181.0,18.0,50.0,11.0,0.0,5.0,76.0,30.0,0.0,0.0,22.0,4.0,0.0,23.0,5.0,6.0,4.0,0.276,0.36,0.42,0.78,-0.005,103.0,,,
39,김동수,,SK/SSG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18750.0,17000.0,X
40,김동주,X,DOOSAN,2001,1976.0,25.0,DH,3.64,103.0,3.85,-0.21,421.0,416.0,364.0,49.0,118.0,18.0,0.0,18.0,190.0,62.0,2.0,2.0,47.0,4.0,5.0,57.0,10.0,0.0,6.0,0.324,0.401,0.522,0.923,0.047,141.9,16500.0,12500.0,X
41,김동호,,LG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,,O
42,김무성,X,HANWHA,2001,1978.0,23.0,DH,-0.02,1.0,-0.03,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.361,-169.1,,,
43,김무성,X,LOTTE,2001,1978.0,23.0,IF,-0.03,1.0,-0.03,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.365,-172.2,,,
44,김민기,,LG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300.0,5500.0,X
45,김민범,,HYUNDAI,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,2800.0,X
46,김민재,X,LOTTE,2001,1973.0,28.0,SS,1.54,105.0,0.92,0.62,374.0,366.0,335.0,48.0,101.0,14.0,1.0,2.0,123.0,37.0,6.0,6.0,23.0,5.0,0.0,28.0,5.0,8.0,3.0,0.301,0.352,0.367,0.719,-0.02,91.9,,,
47,김민재,,SK/SSG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11400.0,7600.0,X
48,김민철,X,KIA,2001,1982.0,19.0,2B,-0.62,62.0,-0.61,0.0,48.0,47.0,45.0,8.0,9.0,0.0,0.0,0.0,9.0,3.0,1.0,4.0,2.0,0.0,0.0,11.0,1.0,1.0,0.0,0.2,0.234,0.2,0.434,-0.139,2.6,2000.0,,O
49,김민호,X,DOOSAN,2001,1969.0,32.0,SS,0.15,109.0,-0.63,0.78,357.0,348.0,306.0,42.0,66.0,17.0,2.0,4.0,99.0,29.0,14.0,3.0,29.0,9.0,0.0,44.0,7.0,9.0,4.0,0.216,0.299,0.324,0.623,-0.074,51.5,9000.0,9500.0,X
50,김백만,,HANWHA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,2000.0,X
51,김병준,,HANWHA,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2000.0,X
52,김사율,,LOTTE,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400.0,2700.0,X
53,김상진,,SK/SSG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000.0,15000.0,X
54,김상현,X,KIA,2001,1980.0,21.0,3B,-0.19,16.0,-0.23,0.05,20.0,20.0,20.0,2.0,3.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.15,0.15,0.3,0.45,-0.299,-26.6,,,
55,김상현,,LG,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,O
